site,X,Y
B2N0500,28.70282,-26.12071
B2N0504,28.70603,-26.12064
B2N0506,28.68776,-26.15002
B2N0717,28.38281,-26.03182
B2N0719,28.66826,-26.18134
B2N0720,28.60679,-26.17901
B2N0721,28.65791,-26.11691
B2N0722,28.43896,-26.00699
B2N0723,28.60772,-26.19214
B2N0724,28.58834,-26.16224
B2N0725,28.58718,-26.16045
B2N0726,28.59883,-26.12196
B2N0727,28.57563,-26.12012
B2N0728,28.61512,-26.11953
B2N0730,28.65617,-26.114639
B2N0731,28.42947,-26.00836
B3N0001,28.54093,-24.95602
B3N0012,28.73502,-24.90635
B3N0016,28.50722222,-25.06083333
B3N0019,28.61297,-25.72307
B3N0020,28.61567,-25.72383
B3N0021,28.62823,-25.72374
B3N0022,28.50623,-25.06145
B3N0023,28.54093,-24.95602
B3N0024,29.2736,-25.3395
B3N0025,29.0859,-25.1745
B3N0026,28.7371,-25.3523
B3N0027,28.512,-25.1362
B3N0028,28.75718,-25.42844
B3N0029,28.61415,-25.72481
B3N0030,28.61421,-25.72141
B3N0031,28.61421,-25.72141
B4N0002,29.80591,-24.95754
B5N0011,29.22194,-24.22028
B5N0013,29.21231,-24.29572
B5N0018,29.11111111,-24.45583333
B5N0031,29.01111111,-24.38416667
B5N0044,29.07972222,-24.60638889
B5N0046,29.05583333,-24.50138889
B5N0050,29.21416667,-24.21444444
B5N0051,29.11131,-24.456
B5N0052,29.49841,-24.22186
B5N0054,29.70159,-24.04886
B5N0055,29.08025,-24.6071
B5N0056,29.40535,-24.70891
B5N0057,29.69125,-24.64631
B5N0058,29.65162,-24.66141
B5N0059,29.35814,-24.29781
B5N0060,29.3565,-24.28998
B5N0061,29.35542,-24.28547
B5N0062,29.40532,-24.31309
B5N0063,29.40406,-24.30212
B5N0064,29.404,-24.29915
B5N0065,29.4148,-24.29576
B5N0066,29.41688,-24.29055
B5N0067,29.91249,-24.67381
B5N0068,29.8869,-23.90289
B5N0069,28.79076,-24.68494
B5N0070,29.41555,-24.93419
B5N0071,29.76301,-24.28703
B5N0072,29.62395,-24.81408
B5N0073,29.37571,-24.55652
B5N0074,29.53512,-24.52402
B5N0075,29.91164,-24.53608
B6N0001,30.775,-24.5923
B6N0002,30.81239,-24.70592
B6N0003,30.81239,-24.70592
B6N0004,30.77919,-24.7543
B6N0005,30.78188,-24.75629
B6N0006,30.74456,-24.88559
B6N0007,30.74626,-24.88494
B6N0008,30.74662,-24.8841
B7N0001,31.02833333,-24.59527778
B7N0002,31.134836,-24.595592
B7N0003,30.62694444,-24.36138889
B7N0004,30.49702,-24.19696
B7N0005,30.3644,-24.07633
B7N0006,31.0597,-23.9724
B7N0007,30.597,-23.91828
B7N0008,30.49555556,-24.19777778
B7N0009,30.61731,-24.37586
B7N0010,30.37555556,-24.06694444
B7N0011,30.84531,-24.13615
B7N0013,29.9025,-24.04346
B7N0014,29.965154,-24.28484
B7N0015,30.31462,-24.34613
B7N0016,31.45877,-24.33636
B7N0017,31.45946,-24.4797
B7N0018,31.67149,-24.11075
B7N0019,31.36939,-23.94534
B8N0502,29.93923,-23.94055
B8N0503,30.88949,-23.36434
B8N0504,30.68188,-23.38954
B8N0507,30.61137,-23.24507
B8N0509,30.3818,-23.268
B8N0510,30.15652,-23.4655
B8N0513,30.35806,-23.89336
B8N0514,30.17093,-23.79483
B8N0515,30.41597,-23.51347
B8N0516,31.0174,-23.6002
B8N0517,30.3917,-23.73412
B8N0518,30.6734,-23.6239
B8N0520,29.9591,-23.6549
B8N0521,30.14028,-23.20531
B8N0523,30.95463,-23.7083
B8N0524,29.9304,-23.36904
B8N0585,30.39608,-23.73406
B8N0587,31.28094,-23.56947
B8N0588,31.34691,-23.5046
B8N0589,31.49087,-23.49143
B8N0590,31.51884,-23.6389
B8N0591,31.1556,-23.4467
B8N0592,31.49454,-23.93523
B9N0001,30.75457,-22.96745
B9N0002,30.58518,-23.08865
B9N0003,30.8047,-23.0721
B9N0004,30.92169,-22.8239
B9N0005,30.90072,-22.93152
B9N0008,30.7964,-23.23302
B9N0009,30.89622,-22.75969
B9N0011,31.18458,-23.26362
B9N0012,31.46173,-23.26853
B9N0013,31.48895,-23.1114
